Denver Broncos,Brandon McManus,K,1
Kansas City Chiefs,Alex Smith,QB,1
Kansas City Chiefs,Nick Foles,QB,2
Kansas City Chiefs,Tyler Bray,QB,3
Kansas City Chiefs,Jamaal Charles,RB,1
Kansas City Chiefs,Spencer Ware,RB,2
Kansas City Chiefs,Charcandrick West,RB,3
Kansas City Chiefs,Spencer Ware,GLB,1
Kansas City Chiefs,Jamaal Charles,GLB,2
Kansas City Chiefs,Jamaal Charles,3RB,1
Kansas City Chiefs,Charcandrick West,3RB,2
Kansas City Chiefs,Anthony Sherman,FB,1
Kansas City Chiefs,Jeremy Maclin,WR1,1
Kansas City Chiefs,De'Anthony Thomas,WR1,2
Kansas City Chiefs,Demarcus Robinson,WR1,3
Kansas City Chiefs,Chris Conley,WR2,1
Kansas City Chiefs,Albert Wilson,WR2,2
Kansas City Chiefs,Tyreek Hill,WR2,3
Kansas City Chiefs,Albert Wilson,WR3,1
Kansas City Chiefs,Travis Kelce,TE,1
Kansas City Chiefs,Demetrius Harris,TE,2
Kansas City Chiefs,James O'Shaughnessy,TE,3
Kansas City Chiefs,Ross Travis,TE,4
Kansas City Chiefs,Eric Fisher,LT,1
Kansas City Chiefs,Bryan Witzmann,LT,2
Kansas City Chiefs,Parker Ehinger,LG,1
Kansas City Chiefs,Zach Fulton,LG,2
Kansas City Chiefs,Mitch Morse,C,1
Kansas City Chiefs,Laurent Duvernay-Tardif,RG,1
Kansas City Chiefs,Jordan Devey,RG,2
Kansas City Chiefs,Mitchell Schwartz,RT,1
Kansas City Chiefs,Jah Reid,RT,2
Kansas City Chiefs,Cairo Santos,K,1
Oakland Raiders,Derek Carr,QB,1
Oakland Raiders,Matt McGloin,QB,2
Oakland Raiders,Connor Cook,QB,3
Oakland Raiders,Latavius Murray,RB,1
Oakland Raiders,DeAndre Washington,RB,2
Oakland Raiders,Jalen Richard,RB,3
Oakland Raiders,Taiwan Jones,RB,4
Oakland Raiders,Latavius Murray,GLB,1
Oakland Raiders,Jamize Olawale,GLB,2
Oakland Raiders,Latavius Murray,3RB,1
Oakland Raiders,DeAndre Washington,3RB,2
Oakland Raiders,Jamize Olawale,FB,2
Oakland Raiders,Amari Cooper,WR1,1
Oakland Raiders,Andre Holmes,WR1,2
Oakland Raiders,Johnny Holton,WR1,3
Oakland Raiders,Michael Crabtree,WR2,1
Oakland Raiders,Seth Roberts,WR2,2
Oakland Raiders,Seth Roberts,WR3,1
Oakland Raiders,Clive Walford,TE,1
Oakland Raiders,Mychal Rivera,TE,2
Oakland Raiders,Ryan O'Malley,TE,3
Oakland Raiders,Donald Penn,LT,1
Oakland Raiders,Matt McCants,LT,2
Oakland Raiders,Kelechi Osemele,LG,1
Oakland Raiders,Vadal Alexander,LG,2
Oakland Raiders,Rodney Hudson,C,1
Oakland Raiders,Gabe Jackson,RG,1
Oakland Raiders,Jon Feliciano,RG,2
Oakland Raiders,Denver Kirkland,RG,3
Oakland Raiders,Menelik Watson,RT,1
Oakland Raiders,Austin Howard,RT,2
Oakland Raiders,Sebastian Janikowski,K,1
San Diego Chargers,Philip Rivers,QB,1
San Diego Chargers,Kellen Clemens,QB,2
San Diego Chargers,Melvin Gordon,RB,1
San Diego Chargers,Dexter McCluster,RB,2
San Diego Chargers,Kenneth Farrow,RB,3
San Diego Chargers,Melvin Gordon,GLB,1
San Diego Chargers,Kenneth Farrow,GLB,2
San Diego Chargers,Melvin Gordon,3RB,1
San Diego Chargers,Dexter McCluster,3RB,2
San Diego Chargers,Derek Watt,FB,1
San Diego Chargers,Travis Benjamin,WR1,1
San Diego Chargers,Griff Whalen,WR1,2
San Diego Chargers,Dontrelle Inman,WR2,1
San Diego Chargers,Tyrell Williams,WR2,2
San Diego Chargers,Tyrell Williams,WR3,1
San Diego Chargers,Antonio Gates,TE,1
San Diego Chargers,Hunter Henry,TE,2
San Diego Chargers,Sean McGrath,TE,3
San Diego Chargers,Asante Cleveland,TE,4
San Diego Chargers,King Dunlap,LT,1
San Diego Chargers,Chris Hairston,LT,2
San Diego Chargers,Orlando Franklin,LG,1
San Diego Chargers,Kenny Wiggins,LG,2
San Diego Chargers,Chris Watt,LG,3
San Diego Chargers,Matt Slauson,C,1
San Diego Chargers,Max Tuerk,C,2
San Diego Chargers,D.J. Fluker,RG,1
San Diego Chargers,Spencer Pulley,RG,2
San Diego Chargers,Joe Barksdale,RT,1
San Diego Chargers,Tyreek Burwell,RT,2
San Diego Chargers,Josh Lambo,K,1
Chicago Bears,Jay Cutler,QB,1
Chicago Bears,Brian Hoyer,QB,2
Chicago Bears,Matt Barkley,QB,3
Chicago Bears,Jeremy Langford,RB,1
Chicago Bears,Jordan Howard,RB,2
Chicago Bears,Joique Bell,RB,3
Chicago Bears,Jeremy Langford,GLB,1
Chicago Bears,Jordan Howard,GLB,2
Chicago Bears,Jeremy Langford,3RB,1
Chicago Bears,Ka'Deem Carey,3RB,2
Chicago Bears,Paul Lasike,FB,1
Chicago Bears,Alshon Jeffery,WR1,1
Chicago Bears,Eddie Royal,WR1,2
Chicago Bears,Cameron Meredith,WR1,3
Chicago Bears,Kevin White,WR2,1
Chicago Bears,Josh Bellamy,WR2,2
Chicago Bears,Deonte Thompson,WR2,3
Chicago Bears,Eddie Royal,WR3,1
Chicago Bears,Zach Miller,TE,1
Chicago Bears,Logan Paulsen,TE,2
Chicago Bears,Charles Leno,LT,1
Chicago Bears,Mike Adams,LT,2
Chicago Bears,Josh Sitton,LG,1
